element,sp_num,obs_wl_vac(A),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,tp_ref,line_ref,
Ne,1,573.5257,0.0006,a,,,0,1,,,L10092,
Ne,1,573.6252,0.0006,a,,,0,1,,,L10092,
Ne,1,573.6679,0.0006,a,,,0,1,,,L10092,
Ne,1,573.7873,0.0006,a,,,0,1,,,L10092,
Ne,1,573.8383,0.0006,a,,,0,1,,,L10092,
Ne,1,573.9821,0.0006,a,,,0,1,,,L10092,
Ne,1,574.0447,0.0006,a,,,0,1,,,L10092,
Ne,1,574.2208,0.0006,a,,,0,1,,,L10092,
Ne,1,574.2982,0.0006,a,,,0,1,,,L10092,
Ne,1,574.5172,0.0006,a,,,0,1,,,L10092,
Ne,1,574.6144,0.0006,a,,,0,1,,,L10092,
Ne,1,574.8912,0.0006,a,,,0,1,,,L10092,
Ne,1,575.0158,0.0006,a,,,0,1,,,L10092,
Ne,1,575.3703,0.0006,a,,,0,1,,,L10092,
Ne,1,575.5347,0.0006,a,,,0,1,,,L10092,
Ne,1,575.8544,0.0006,a,,,0,1,,,L10092,
Ne,1,575.9530,0.0006,a,,,0,1,,,L10092,
Ne,1,575.9822,0.0006,a,,,0,1,,,L10092,
Ne,1,576.0045,0.0006,a,,,0,1,,,L10092,
Ne,1,576.0684,0.0006,a,,,0,1,,,L10092,
Ne,1,576.1032,0.0006,a,,,0,1,,,L10092,
Ne,1,576.2048,0.0006,a,,,0,1,,,L10092,
Ne,1,576.2255,0.0006,a,,,0,1,,,L10092,
Ne,1,576.2481,0.0006,a,,,0,1,,,L10092,
Ne,1,576.3685,0.0006,a,,,0,1,,,L10092,
Ne,1,576.4184,0.0006,a,,,0,1,,,L10092,
Ne,1,576.5645,0.0006,a,,,0,1,,,L10092,
Ne,1,576.5658,0.0006,a,,,0,1,,,L10092,
Ne,1,576.6262,0.0006,a,,,0,1,,,L10092,
Ne,1,576.8048,0.0006,a,,,0,1,,,L10092,
Ne,1,576.8083,0.0006,a,,,0,1,,,L10092,
Ne,1,576.8643,0.0006,a,,,0,1,,,L10092,
Ne,1,576.8816,0.0006,a,,,0,1,,,L10092,
Ne,1,577.1034,0.0006,a,,,0,1,,,L10092,
Ne,1,577.1080,0.0006,a,,,0,1,,,L10092,
Ne,1,577.1687,0.0006,a,,,0,1,,,L10092,
Ne,1,577.2024,0.0006,a,,,0,1,,,L10092,
Ne,1,577.4803,0.0006,a,,,0,1,,,L10092,
Ne,1,577.4872,0.0006,a,,,0,1,,,L10092,
Ne,1,577.6038,0.0006,a,,,0,1,,,L10092,
Ne,1,577.9649,0.0006,a,,,0,1,,,L10092,
Ne,1,577.9740,0.0006,a,,,0,1,,,L10092,
Ne,1,578.0710,0.0006,a,,,0,1,,,L10092,
Ne,1,578.1262,0.0006,a,,,0,1,,,L10092,
Ne,1,578.5123,0.0006,a,,,0,1,,,L10092,
Ne,1,578.6049,0.0006,a,,,0,1,,,L10092,
Ne,1,578.6175,0.0006,a,,,0,1,,,L10092,
Ne,1,578.8220,0.0006,a,,,0,1,,,L10092,
Ne,1,579.4712,0.0006,a,,,0,1,,,L10092,
Ne,1,579.4880,0.0006,a,,,0,1,,,L10092,
Ne,1,579.7704,0.0006,a,,,0,1,,,L10092,
Ne,1,579.8406,0.0006,a,,,0,1,,,L10092,
Ne,1,580.5113,0.0006,a,,,0,1,,,L10092,
Ne,1,580.6887,0.0006,a,,,0,1,,,L10092,
Ne,1,580.7131,0.0006,a,,,0,1,,,L10092,
Ne,1,581.1215,0.0006,a,,,0,1,,,L10092,
Ne,1,582.4687,0.0006,a,,,0,1,,,L10092,
Ne,1,582.5059,0.0006,a,,,0,1,,,L10092,
Ne,1,582.5977,0.0006,a,,,0,1,,,L10092,
Ne,1,583.1257,0.0006,a,,,0,1,,,L10092,
Ne,1,583.6891,0.0006,a,,,0,1,,,L10092,
He,1,584.3339,0.0005,1000,1.7989e+09,AAA,0,1,,T8636c73,L551,
Ne,1,585.2472,0.0006,a,,,0,1,,,L10092,
Ne,1,585.3040,0.0006,a,,,0,1,,,L10092,
Ne,1,586.3138,0.0006,a,,,0,1,,,L10092,
Ne,1,587.2127,0.0006,a,1.48e+07,B,0,1,,T5842,L10092,
Ne,1,589.1792,0.0006,a,9.99e+06,C+,0,1,,T5842,L10092,
Ne,1,589.9114,0.0006,a,2.62e+07,C+,0,1,,T5842n,T6976,L10092,
Ne,1,590.0109,0.0006,a,8.5e+06,D+,0,1,,T5842n,T6976,L10092,
He,1,591.4121,0.0005,50,1.764e+02,AA,0,1,,T3585,L551,
Xe,1,591.77,0.03,a,,,0,1,,,L1526,
Ne,1,591.8306,0.0006,a,2.06e+07,B+,0,1,,T6844,L10092,
Ne,1,595.9200,0.0040,30,2.80e+07,A,0,1,,T6844,L6178,
Ne,1,598.7056,0.0040,20,4.29e+07,B,0,1,,T6844n,T6976,L6178,
Ne,1,598.8897,0.0040,10,1.52e+07,C,0,1,,T6844n,T6976,L6178,
Ne,1,600.0365,0.0040,20,2.85e+07,B+,0,1,,T5842,L6178,
Ne,1,602.7263,0.0040,40,3.95e+07,A,0,1,,T6844,L6178,
Ne,1,615.6283,0.0040,50,4.03e+07,B+,0,1,,T6844,L6178,
Ne,1,618.6716,0.0040,50,8.0e+07,B,0,1,,T6844n,T6976,L6178,
Ne,1,619.1023,0.0040,40,2.66e+07,C,0,1,,T6844n,T6976,L6178,
Ne,1,626.8232,0.0040,60,9.45e+07,B+,0,1,,T6844,L6178,
Ne,1,629.7388,0.0040,60,7.23e+07,B+,0,1,,T5842,L6178,
Ne,1,735.8962,0.0040,300,5.88e+08,A,0,1,,T6496,L6178,
Ne,1,743.7195,0.0002,120,4.40e+07,A,0,1,,T6496,L1407,
Hg,1,744.573,0.025,a,,,0,1,,,L2725,
Hg,1,744.810,0.009,a,,,0,1,,,L400,
Hg,1,745.308,0.009,a,,,0,1,,,L400,
Hg,1,745.834,0.009,a,,,0,1,,,L400,
Hg,1,746.533,0.009,a,,,0,1,,,L400,
Hg,1,746.543,0.025,a,,,0,1,,,L2725,
Hg,1,747.245,0.009,a,,,0,1,,,L400,
Hg,1,747.315,0.009,a,,,0,1,,,L400,
Hg,1,748.338,0.009,a,,,0,1,,,L400,
Hg,1,748.520,0.009,a,,,0,1,,,L400,
Hg,1,749.814,0.009,a,,,0,1,,,L400,
Hg,1,749.960,0.025,a,,,0,1,,,L2725,
Hg,1,750.040,0.009,a,,,0,1,,,L400,
Hg,1,751.788,0.009,a,,,0,1,,,L400,
Hg,1,752.070,0.025,a,,,0,1,,,L2725,
Hg,1,752.272,0.009,a,,,0,1,,,L400,
Hg,1,754.788,0.009,a,,,0,1,,,L400,
Hg,1,755.368,0.025,a,,,0,1,,,L2725,
Hg,1,755.523,0.009,a,,,0,1,,,L400,
Hg,1,759.537,0.009,a,,,0,1,,,L400,
Hg,1,760.302,0.009,a,,,0,1,,,L400,
