element,sp_num,obs_wl_vac(A),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,tp_ref,line_ref,
Th,1,4377.9157,0.0006,31,,,2,3,,,L5951,
Th,1,4378.7225,0.0008,15,,,7,6 or 7,,,L5951,
Th,1,4378.8819,0.0004,70,,,5,4,,,L5951,
Ne,1,4378.984,0.020,20,,,1,2,,,L3469,
Ne,1,4378.984,0.020,20*,,,1,2,,,L3469,
Th,1,4379.1448,0.0004,55,,,2,2,,,L5951,
Th,1,4379.2562,0.0019,360,,,2,1,,,L3552,
Th,1,4379.406971,0.000019,6800,,,3,2,,,L18702,
Cu,1,4379.43,0.06,550h,,,3/2,5/2,,,L772,
Th,1,4379.5933,0.0006,31,,,3,3,,,L5951,
Th,1,4380.2596,0.0006,23,,,2,2,,,L5951,
Th,1,4381.0922,0.0004,49,,,3,4,,,L5951,
Th,1,4381.1954,0.0006,22,,,3,3,,,L5951,
Th,1,4381.51704,0.00017,510,,,2,2,,,L5951,
Th,1,4381.9497,0.0004,56,,,2,2,,,L5951,
Th,1,4382.1131,0.0006,26,,,2,3,,,L5951,
Th,1,4382.3610,0.0019,7,,,3,3,,,L3552,
Ne,1,4382.4510,0.0010,300,,,3,2,,,L7292,
Th,1,4383.4356,0.0004,78,,,4,4,,,L5951,
Th,1,4383.6174,0.0006,39,,,4,5,,,L5951,
Th,1,4383.7574,0.0019,10,,,2,3,,,L3552,
Th,1,4384.12478,0.00025,210,,,1,1,,,L5951,
Th,1,4384.8337,0.0004,52,,,2,2,,,L5951,
Th,1,4385.1015,0.0003,140,,,5,5,,,L5951,
Xe,1,4385.140,0.002,100,,,1,2,,,L7292,
Th,1,4385.2509,0.0004,53,,,7,6,,,L5951,
Th,1,4385.8351,0.0003,100,,,2,2,,,L5951,
Th,1,4385.88789,0.00015,740,,,4,5,,,L5951,
Th,1,4386.4809,0.0006,18,,,3,2,,,L5951,
Th,1,4386.9857,0.0003,110,,,2,1,,,L5951,
Xe,1,4387.000,0.002,70,,,1,1,,,L7292,
Th,1,4387.3695,0.0008,15,,,2,3,,,L5951,
Th,1,4387.5045,0.0004,73,,,3,4,,,L5951,
Th,1,4388.2601,0.0003,130,,,2,1,,,L5951,
Th,1,4388.2939,0.0006,35,,,6,6,,,L5951,
Th,1,4388.96685,0.00015,770,,,1,2,,,L5951,
He,1,4389.1624,0.0006,10,8.9889e+06,AAA,1,2,,T8636c73,L14926,
Th,1,4389.3342,0.0003,150,,,3,2,,,L5951,
Th,1,4389.7740,0.0019,3,,,5,5,,,L3552,
Th,1,4389.8019,0.0019,37,,,2,3,,,L3552,
Th,1,4389.8939,0.0006,26,,,5,6,,,L5951,
Th,1,4390.2010,0.0003,170,,,5,5,,,L5951,
Th,1,4390.4671,0.0019,29,,,4,3,,,L3552,
Th,1,4390.5411,0.0019,11,,,2,3,,,L3552,
Th,1,4390.8875,0.0006,26,,,6,5,,,L5951,
Th,1,4390.9177,0.0005,42,,,5,4,,,L5951,
Th,1,4391.4103,0.0006,32,,,5,5,,,L5951,
Th,1,4391.8466,0.0019,57,,,2,3,,,L3552,
Th,1,4392.0969,0.0008,15,,,5,4,,,L5951,
Th,1,4392.62295,0.00023,290,,,4,4,,,L5951,
Th,1,4392.7633,0.0003,220,,,4,5,,,L5951,
Th,1,4393.6981,0.0004,75,,,7,6 or 7,,,L5951,
Th,1,4393.7307,0.0004,49,,,2,3,,,L5951,
Th,1,4394.20804,0.00006,1800,,,4,4,,,L18702,
Th,1,4394.3651,0.0019,15,,,3,3,,,L3552,
Th,1,4394.99325,0.00015,670,,,3,3,,,L5951,
Ne,1,4395.604,0.020,150*,,,2,2,,,L3469,
Ne,1,4395.604,0.020,150*,,,2,2,,,L3469,
Ne,1,4395.604,0.020,150*,,,2,3,,,L3469,
Th,1,4395.6722,0.0004,62,,,4,4,,,L5951,
Ne,1,4396.008,0.020,150,,,2,2,,,L3469,
Th,1,4396.0701,0.0004,60,,,3,4,,,L5951,
Ne,1,4396.243,0.020,10,,,2,1,,,L3469,
Ne,1,4396.541,0.020,10,,,2,2,,,L3469,
Ne,1,4396.7908,0.0010,500,,,2,3,,,L7292,
Th,1,4396.9088,0.0019,37,,,2,3,,,L3552,
Ne,1,4397.204,0.020,10,,,2,1,,,L3469,
Th,1,4397.3742,0.0003,150,,,5,4,,,L5951,
Cu,1,4398.2,0.3,10h,,,5/2,5/2,,,L772,
Th,1,4398.2449,0.0003,130,,,4,4,,,L5951,
Th,1,4398.3376,0.0006,21,,,5,5,,,L5951,
Th,1,4398.3567,0.0006,25*,,,4,5,,,L5951,
Ne,1,4398.410,0.020,10,,,1,1,,,L3469,
Ne,1,4399.371,0.020,50,,,1,0,,,L3469,
Th,1,4399.4595,0.0006,38,,,2,3,,,L5951,
Th,1,4399.5069,0.0006,33,,,6,5,,,L5951,
Th,1,4400.2612,0.0004,55,,,3,4,,,L5951,
Th,1,4400.6418,0.0003,120,,,3,3,,,L5951,
Th,1,4400.6982,0.0019,16,,,4,3,,,L12239,
Th,1,4400.8188,0.0019,30,,,1,2,,,L3552,
Kr,1,4401.20227,0.00010,200,1.26e+06,C+,1,2,,T3408n,T7199,T3378,L11281,
Th,1,4401.20470,0.00015,720,,,2,3,,,L18702,
Th,1,4402.3878,0.0004,56,,,6,5,,,L5951,
Th,1,4402.81746,0.00005,2500,,,4,5,,,L18702,
Th,1,4402.9582,0.0006,38,,,6,5,,,L5951,
Th,1,4403.48169,0.00021,350,,,4,3,,,L5951,
Th,1,4403.5400,0.0016,35,,,2,1,,,L12239,
Ne,1,4403.611,0.020,20,,,1,2,,,L3469,
Th,1,4403.6831,0.0004,53,,,3,2,,,L5951,
Ne,1,4403.817,0.020,10,,,1,1,,,L3469,
Th,1,4403.8366,0.0003,150,,,5,5,,,L5951,
Th,1,4404.0674,0.0006,34,,,3,2,,,L5951,
Th,1,4404.163755,0.000023,5200,,,3,4,,,L18702,
Ne,1,4404.222,0.020,10,,,2,3,,,L3469,
Th,1,4404.6605,0.0006,34,,,3,4,,,L5951,
Th,1,4404.9508,0.0004,57,,,3,3,,,L5951,
Th,1,4405.3498,0.0003,230,,,3,2,,,L5951,
Th,1,4405.4408,0.0004,50,,,3,2,,,L5951,
Th,1,4405.7112,0.0019,3,,,3,2,,,L3552,
Ne,1,4406.819,0.020,20,,,0,1,,,L3469,
Th,1,4407.0859,0.0008,15,,,4,3,,,L5951,
Th,1,4407.2348,0.0006,19,,,5,4,,,L5951,
Th,1,4408.1454,0.0004,74,,,4,3,,,L5951,
Th,1,4409.4891,0.0019,74,,,4,4,,,L3552,
Th,1,4409.72039,0.00017,520,,,4,5,,,L5951,
Th,1,4409.8022,0.0006,27,,,3,4,,,L5951,
Th,1,4410.121033,0.000014,10000,,,2,2,,,L18702,
Th,1,4410.1868,0.0003,120bl,,,2,2,,,L5951,
Ne,1,4410.858,0.020,200,,,2,3,,,L3469,
Th,1,4410.9561,0.0006,25,,,5,6,,,L5951,
Th,1,4411.1376,0.0003,230,,,2,3,,,L5951,
Kr,1,4411.6068,0.0010,50,2.80e+05,C+,1,1,,T3408n,T7199,T3378,L11281,
Th,1,4412.3752,0.0005,46,,,4,3,,,L5951,
Th,1,4412.8154,0.0004,54,,,2,1,,,L5951,
Th,1,4413.5093,0.0019,92,,,3,4,,,L3552,
Ne,1,4413.524,0.020,200,,,2,1,,,L3469,
Kr,1,4413.63,0.10,6,,,1,2,,,L7408,
Th,1,4413.80767,0.00018,560,,,4,3,,,L5951,
Cd,1,4414.2288,0.0010,3,,,1,0,,,L3486,
Th,1,4414.5786,0.0006,30,,,3,4,,,L5951,
Ne,1,4414.801,0.020,150,,,2,2,,,L3469,
Th,1,4414.8286,0.0019,3,,,2,2,,,L3552,
Th,1,4414.8719,0.0003,210,,,4,3,,,L5951,
Th,1,4415.3818,0.0019,55,,,3,2,,,L3552,
Th,1,4415.4539,0.0004,69,,,4,4,,,L5951,
Th,1,4415.72605,0.00006,2100,,,2,1,,,L18702,
Th,1,4416.0068,0.0003,160,,,3,4,,,L5951,
Ne,1,4416.381,0.020,50,,,1,1,,,L3469,
Cu,1,4416.78,0.06,200h,,,1/2,3/2,,,L772,
Ne,1,4418.057,0.020,500,,,2,3,,,L3469,
Th,1,4418.08513,0.00012,1000,,,5,4,,,L18702,
Kr,1,4418.1242,0.0010,20,,,1,1,,,L7350,
Th,1,4418.1874,0.0018,24,,,5,5,,,L12239,
Th,1,4418.4627,0.0016,29,,,3,4,,,L12239,
Th,1,4418.7648,0.0006,31,,,3,4,,,L5951,
Th,1,4419.2360,0.0006,31,,,3,2 or 3,,,L5951,
Th,1,4419.4418,0.0020,56,,,2,3,,,L3552,
Th,1,4419.6565,0.0003,120,,,5,6,,,L5951,
Th,1,4419.7904,0.0006,22,,,2,3,,,L5951,
Kr,1,4420.0022,0.0010,50,,,1,2,,,L11281,
Th,1,4421.0104,0.0003,150,,,4,4,,,L5951,
Th,1,4421.3535,0.0003,110,,,3,2,,,L5951,
Th,1,4421.49836,0.00021,370,,,5,5,,,L5951,
Ne,1,4421.799,0.020,10,,,1,2,,,L3469,
Th,1,4421.9733,0.0006,36,,,4,5,,,L5951,
Th,1,4422.02278,0.00020,430,,,3,3,,,L5951,
Th,1,4422.0494,0.0004,69,,,6,6,,,L5951,
Th,1,4422.0864,0.0004,49,,,3,2,,,L5951,
Th,1,4422.1677,0.0004,60,,,2,3,,,L5951,
Th,1,4422.3989,0.0006,21,,,2,3,,,L5951,
Th,1,4422.78547,0.00018,490bl,,,3,4,,,L5951,
Ne,1,4422.7969,0.0020,500,,,1,1,,,L4498,
Th,1,4422.8228,0.0005,47,,,1,2,,,L5951,
Th,1,4423.28967,0.00012,920,,,2,1,,,L18702,
Ne,1,4423.7624,0.0004,3000,,,1,2,,,L3451,
Th,1,4424.1291,0.0003,180,,,2,2,,,L5951,
Th,1,4424.5053,0.0003,100,,,4,3,,,L5951,
Th,1,4424.7700,0.0004,62,,,3,2,,,L5951,
Th,1,4424.96241,0.00016,670,,,2,1,,,L5951,
Cu,1,4425.05,0.06,0h,,,3/2,5/2,,,L772,
Th,1,4425.4855,0.0004,60,,,5,4,,,L5951,
Th,1,4425.7818,0.0005,50,,,4,4,,,L5951,
Th,1,4425.9034,0.0020,15,,,1,1,,,L3552,
Ne,1,4426.0490,0.0020,3000,,,1,1,,,L4498,
Th,1,4426.07974,0.00018,540,,,2,3,,,L5951,
Th,1,4426.1397,0.0006,29,,,3,3,,,L5951,
Kr,1,4426.43265,0.00010,100,6.05e+05,C+,1,1,,T3408n,T7199,T3378,L11281,
Ne,1,4426.6426,0.0010,1500,,,1,0,,,L7292,
Th,1,4427.2617,0.0020,3,,,3,3,,,L3552,
Th,1,4428.4742,0.0004,73,,,3,2,,,L5951,
Th,1,4428.7717,0.0004,73,,,2,3,,,L5951,
Th,1,4428.8096,0.0006,33,,,3,4,,,L5951,
Ne,1,4428.998,0.020,300,,,1,1,,,L3469,
Ne,1,4429.224,0.020,150,,,1,2,,,L3469,
Th,1,4429.79706,0.00022,320,,,4,5,,,L5951,
Th,1,4429.9877,0.0003,160,,,3,3,,,L5951,
Th,1,4430.0715,0.0020,19,,,2,2,,,L3552,
Th,1,4430.12685,0.00024,270,,,5,5,,,L5951,
Th,1,4430.5967,0.0005,44,,,3,3,,,L5951,
Ne,1,4430.654,0.020,10,,,1,2,,,L3469,
Th,1,4430.7879,0.0006,24,,,2,1,,,L5951,
Th,1,4430.8786,0.0003,220,,,2,2,,,L5951,
Th,1,4430.9659,0.0020,31,,,4,3,,,L3552,
Th,1,4431.0665,0.0003,210,,,4,5,,,L5951,
Th,1,4431.2220,0.0004,64,,,3,4,,,L5951,
Th,1,4431.3868,0.0004,80,,,1,2,,,L5951,
Th,1,4432.6589,0.0004,60,,,4,3,,,L5951,
Th,1,4432.8517,0.0008,17,,,2,2,,,L5951,
Th,1,4433.49650,0.00012,940,,,2,2,,,L18702,
Ne,1,4433.7611,0.0020,200,,,3,3,,,L4498,
Th,1,4433.9372,0.0018,25,,,2,2,,,L12239,
Th,1,4434.2898,0.0006,18,,,4,3,,,L5951,
Ne,1,4434.643,0.020,100,,,3,2,,,L3469,
Th,1,4434.73545,0.00020,490,,,4,5,,,L5951,
Ne,1,4434.9687,0.0004,700,,,3,4,,,L3451,
Th,1,4435.3200,0.0003,150,,,4,5,,,L5951,
Ne,1,4436.339,0.020,50,,,2,1,,,L3469,
Th,1,4436.5396,0.0004,55,,,3,2,,,L5951,
Th,1,4436.9504,0.0020,15,,,4,3,,,L3552,
Th,1,4438.2417,0.0003,210,,,4,3,,,L5951,
Th,1,4438.6906,0.0003,140,,,4,5,,,L5951,
He,1,4438.797,0.010,3,3.2689e+06,AAA,1,0,,T8636c73,L14925c72,
Th,1,4439.1661,0.0006,33,,,3,3,,,L5951,
Th,1,4439.3366,0.0003,140,,,2,2,,,L5951,
Th,1,4439.5467,0.0006,22,,,3,3,,,L5951,
Th,1,4439.8023,0.0005,43,,,4,3,,,L5951,
Th,1,4439.99256,0.00016,790,,,2,3,,,L5951,
Th,1,4440.2463,0.0020,31,,,3,3,,,L3552,
Th,1,4441.1033,0.0004,55,,,2,3,,,L5951,
Th,1,4441.52092,0.00016,670,,,3,3,,,L5951,
Th,1,4441.60004,0.00012,1000,,,2,2,,,L18702,
Ne,1,4441.610,0.020,150*,,,2,2,,,L3469,
Ne,1,4441.610,0.020,150*,,,2,3,,,L3469,
Th,1,4441.7407,0.0006,19,,,2,1,,,L5951,
Ne,1,4442.059,0.020,20,,,2,2,,,L3469,
Ne,1,4442.137,0.020,10,,,2,3,,,L3469,
Th,1,4442.3958,0.0020,58,,,2,2,,,L3552,
Th,1,4442.4416,0.0006,23,,,1,1,,,L5951,
Th,1,4442.7560,0.0006,40,,,3,4,,,L5951,
Th,1,4442.85532,0.00022,340,,,2,2,,,L5951,
Th,1,4442.9058,0.0004,72,,,6,5,,,L5951,
Th,1,4443.7610,0.0018,23,,,3,4,,,L12239,
Th,1,4443.9880,0.0006,28,,,3,3 or 4,,,L5951,
Th,1,4444.4486,0.0006,23,,,4,4,,,L5951,
Th,1,4444.7374,0.0004,58,,,7,6 or 7,,,L5951,
Th,1,4444.91309,0.00018,550,,,1,2,,,L5951,
Th,1,4445.0150,0.0003,130,,,3,2,,,L5951,
Th,1,4445.1876,0.0004,55,,,5,6,,,L5951,
Ne,1,4446.226,0.020,300,,,2,3,,,L3469,
Th,1,4446.28164,0.00018,630,,,2,1,,,L5951,
Th,1,4446.53588,0.00022,300,,,3,2,,,L5951,
Th,1,4446.56360,0.00018,590,,,5,4,,,L5951,
Th,1,4446.6943,0.0006,20,,,0,1,,,L5951,
Ne,1,4446.919,0.020,10,,,1,1,,,L3469,
Th,1,4447.14916,0.00004,3100,,,3,4,,,L18702,
Th,1,4447.6636,0.0006,24,,,3,4,,,L5951,
Th,1,4447.6978,0.0003,160,,,3,2,,,L5951,
Ne,1,4447.786,0.020,10,,,1,0,,,L3469,
Th,1,4447.8317,0.0003,230,,,4,3,,,L5951,
Th,1,4447.9908,0.0006,36,,,1,2,,,L5951,
Th,1,4448.4780,0.0003,230,,,3,2,,,L5951,
Th,1,4449.0317,0.0004,54,,,4,5,,,L5951,
Th,1,4449.2793,0.0006,33,,,4,3,,,L5951,
Th,1,4450.1709,0.0006,21,,,4,3,,,L5951,
Th,1,4450.6845,0.0006,24,,,4,5,,,L5951,
Th,1,4451.3151,0.0020,7,,,4,4,,,L3552,
Th,1,4451.4873,0.0020,18,,,2,3,,,L3552,
Th,1,4452.0140,0.0003,170,,,4,3,,,L5951,
Th,1,4452.05331,0.00020,490,,,1,1,,,L5951,
Th,1,4452.5168,0.0004,72,,,5,6,,,L5951,
Th,1,4452.6092,0.0003,240,,,4,4,,,L5951,
Th,1,4452.9892,0.0004,68,,,4,4,,,L5951,
Th,1,4453.1207,0.0020,3,,,2,2,,,L3552,
Th,1,4453.6862,0.0004,99,,,2,2,,,L5951,
Th,1,4453.81527,0.00004,2900,,,3,3,,,L18702,
Ne,1,4454.233,0.020,150,,,1,2,,,L3469,
Th,1,4454.4407,0.0005,44*,,,2,1,,,L5951,
Th,1,4454.4407,0.0005,44*,,,1,2,,,L5951,
Ne,1,4454.503,0.020,50,,,1,1,,,L3469,
Ne,1,4454.574,0.020,20,,,2,1,,,L3469,
Ne,1,4454.778,0.020,10,,,1,2,,,L3469,
Th,1,4454.8822,0.0006,28,,,2,2,,,L5951,
Th,1,4455.1095,0.0006,27,,,3,3,,,L5951,
Kr,1,4455.16765,0.00010,600,3.97e+05,B,1,2,,T3378n,T7199,L11281,
Th,1,4455.3894,0.0003,170,,,3,2,,,L5951,
Ne,1,4455.535,0.020,50,,,2,2,,,L3469,
Th,1,4455.9836,0.0004,65,,,2,2,,,L5951,
Th,1,4456.3985,0.0020,7,,,4,3,,,L3552,
Th,1,4456.5437,0.0005,47,,,6,7,,,L5951,
Ne,1,4456.815,0.020,150,,,2,1,,,L3469,
Th,1,4456.8245,0.0006,23,,,3,2,,,L5951,
Th,1,4457.1186,0.0004,350,,,4,4,,,L18702,
Th,1,4457.5379,0.0008,15,,,2,3,,,L5951,
Ne,1,4457.631,0.020,10,,,0,1,,,L3469,
Th,1,4457.7310,0.0004,91,,,1,1 or 2,,,L5951,
Th,1,4458.0574,0.0006,19,,,2,3,,,L5951,
Th,1,4458.48721,0.00020,420,,,4,5,,,L5951,
Th,1,4459.0332,0.0020,7,,,3,3,,,L3552,
Th,1,4459.25275,0.00003,4000,,,2,2,,,L18702,
Th,1,4459.4666,0.0005,50,,,3,3,,,L5951,
Th,1,4459.98981,0.00022,360,,,1,1,,,L5951,
Th,1,4460.25587,0.00020,450,,,1,1,,,L5951,
Th,1,4461.2273,0.0004,54,,,5,4,,,L5951,
Th,1,4461.3012,0.0020,16,,,2,1,,,L12239,
Ne,1,4461.4268,0.0010,1000,,,3,2,,,L7292,
Th,1,4462.3768,0.0003,150*,,,1,2,,,L5951,
Th,1,4462.49313,0.00005,2300,,,2,3,,,L18702,
Th,1,4462.77988,0.00004,3000,,,2,3,,,L18702,
Th,1,4462.8542,0.0020,56,,,4,5,,,L3552,
Th,1,4462.99724,0.00018,500,,,5,6,,,L5951,
Th,1,4463.04150,0.00016,750,,,2,3,,,L5951,
Th,1,4463.0699,0.0003,240,,,4,5,,,L5951,
Th,1,4464.0057,0.0006,22,,,4,3,,,L5951,
Ne,1,4464.109,0.020,20,,,2,1,,,L3469,
Th,1,4464.4968,0.0006,18,,,1,1,,,L5951,
Th,1,4464.5844,0.0024,8,,,5,4,,,L12239,
Th,1,4464.91876,0.00018,590,,,2,1,,,L5951,
Kr,1,4464.94273,0.00010,800,1.181e+06,B,1,1,,T3378n,T7199,L11281,
Th,1,4465.08739,0.00018,550,,,5,4,,,L5951,
Th,1,4465.3915,0.0004,83,,,4,4,,,L5951,
Th,1,4465.9576,0.0003,120,,,3,4,,,L5951,
Th,1,4465.9824,0.0006,34,,,2,3,,,L5951,
Th,1,4466.1013,0.0003,170,,,3,3,,,L5951,
Th,1,4466.7243,0.0020,11,,,4,3,,,L3552,
Ne,1,4466.9077,0.0020,500,,,2,2,,,L4498,
Th,1,4467.1710,0.0020,14,,,2,2,,,L12239,
Th,1,4467.2284,0.0003,160,,,3,2,,,L5951,
Ne,1,4467.298,0.020,50,,,2,1,,,L3469,
Ne,1,4467.756,0.020,20,,,2,2,,,L3469,
Th,1,4467.8780,0.0003,220,,,4,3,,,L5951,
Ne,1,4468.0656,0.0004,700,,,2,3,,,L3451,
Th,1,4468.4418,0.0020,7,,,3,4,,,L3552,
Ne,1,4468.745,0.020,10,,,2,1,,,L3469,
Th,1,4469.0133,0.0006,34,,,2,1,,,L5951,
Th,1,4469.57474,0.00020,370,,,3,3,,,L5951,
Th,1,4470.4433,0.0003,200,,,4,4,,,L5951,
Th,1,4470.77960,0.00008,1500,,,4,4,,,L18702,
Th,1,4471.3580,0.0006,33,,,3,2,,,L5951,
Ne,1,4472.226,0.020,50*,,,0,1,,,L3469,
Ne,1,4472.226,0.020,50*,,,1,1,,,L3469,
Th,1,4472.24527,0.00020,440,,,2,1,,,L5951,
He,1,4472.7350,0.0015,200*,6.8275e+05,AAA,2,1,,T8636c73,L14926,
He,1,4472.7350,0.0015,200*,6.1440e+06,AAA,2,2,,T8636c73,L14926,
He,1,4472.7350,0.0015,200*,2.4579e+07,AAA,2,3,,T8636c73,L14926,
He,1,4472.7350,0.0015,200*,1.0241e+07,AAA,1,1,,T8636c73,L14926,
He,1,4472.7350,0.0015,200*,1.8432e+07,AAA,1,2,,T8636c73,L14926,
Th,1,4472.7378,0.0020,11,,,3,4,,,L3552,
Th,1,4473.1258,0.0004,82,,,4,3,,,L5951,
Th,1,4473.4338,0.0004,81,,,4,3,,,L5951,
Th,1,4473.4883,0.0003,170,,,5,5,,,L5951,
Ne,1,4473.501,0.020,10*,,,1,2,,,L3469,
Ne,1,4473.501,0.020,10*,,,1,2,,,L3469,
Th,1,4473.6030,0.0020,11,,,2,3,,,L3552,
Th,1,4473.8749,0.0004,82,,,3,4,,,L5951,
Th,1,4474.0779,0.0006,34,,,5,5,,,L5951,
Th,1,4474.1013,0.0003,190*,,,3,2,,,L5951,
Th,1,4474.5923,0.0020,7,,,2,3,,,L3552,
Th,1,4475.2132,0.0006,35,,,1,2,,,L5951,
Th,1,4475.4630,0.0006,20,,,5,4,,,L5951,
Th,1,4475.6561,0.0006,25,,,2,3,,,L5951,
Th,1,4476.0391,0.0004,74,,,2,2,,,L5951,
Th,1,4476.07494,0.00024,290,,,4,5,,,L5951,
Ne,1,4476.387,0.020,50,,,1,1,,,L3469,
Th,1,4476.47712,0.00006,2000,,,2,3,,,L18702,
Ne,1,4476.9119,0.0010,1000,,,1,2,,,L7292,
Th,1,4477.0213,0.0003,190,,,3,4,,,L5951,
Th,1,4478.2334,0.0006,21,,,2,2,,,L5951,
Th,1,4478.2904,0.0006,19,,,0,1,,,L5951,
Th,1,4478.4725,0.0004,57,,,5,4,,,L5951,
Th,1,4479.1216,0.0020,11,,,1,2,,,L3552,
Th,1,4479.2715,0.0022,11,,,4,4,,,L12239,
Th,1,4479.65985,0.00024,280,,,3,3,,,L5951,
Th,1,4479.85234,0.00016,660,,,0,1,,,L18702,
Th,1,4480.0364,0.0004,99,,,6,6,,,L5951,
Th,1,4480.2827,0.0003,110,,,4,4 or 5,,,L5951,
Th,1,4480.89457,0.00018,620,,,2,3,,,L5951,
Th,1,4481.0381,0.0004,86,,,2,3,,,L5951,
Th,1,4481.5232,0.0004,59,,,2,3,,,L5951,
Th,1,4481.5651,0.0020,3,,,5,5,,,L3552,
Cu,1,4481.607,0.009,500,3.0e+06,C,1/2,1/2,,T1343,L772,
Th,1,4481.8025,0.0003,100,,,4,4,,,L5951,
Ne,1,4482.080,0.020,150,,,1,2,,,L3469,
Th,1,4482.08630,0.00014,750,,,2,2,,,L18702,
Th,1,4482.2672,0.0006,35,,,2,3,,,L5951,
Th,1,4482.4832,0.0006,34,,,4,3,,,L5951,
Th,1,4482.6483,0.0004,57,,,2,1,,,L5951,
Th,1,4483.42675,0.00004,2900,,,4,4,,,L18702,
Th,1,4484.0221,0.0006,30,,,5,6,,,L5951,
Th,1,4484.1115,0.0008,17,,,2,2,,,L5951,
Th,1,4484.1686,0.0006,27,,,3,4,,,L5951,
Th,1,4484.4169,0.0004,64,,,6,5,,,L5951,
Ne,1,4484.4479,0.0010,1500,,,1,1,,,L7292,
Th,1,4484.60470,0.00008,1500,,,4,3,,,L18702,
Th,1,4485.0708,0.0014,61,,,4,5,,,L12239,
Th,1,4485.2963,0.0003,210,,,4,3,,,L5951,
Th,1,4486.2297,0.0008,17,,,3,3,,,L5951,
Th,1,4486.97174,0.00022,360,,,2,1,,,L5951,
Th,1,4487.1559,0.0005,41,,,3,4,,,L5951,
Th,1,4487.6769,0.0006,31,,,3,4,,,L5951,
Th,1,4487.9090,0.0004,62,,,2,3,,,L5951,
Th,1,4488.0245,0.0008,15,,,3,3,,,L5951,
Th,1,4488.15608,0.00003,3700,,,0,1,,,L18702,
Ne,1,4489.3518,0.0004,3000,,,1,2,,,L3451,
Th,1,4489.57152,0.00018,610,,,3,4,,,L5951,
Th,1,4489.7545,0.0006,18,,,4,3,,,L5951,
Th,1,4489.8093,0.0006,26,,,1,2,,,L5951,
Th,1,4490.5045,0.0020,7,,,3,2,,,L3552,
Th,1,4490.92415,0.00008,1300,,,6,6,,,L18702,
Th,1,4491.1960,0.0006,25,,,4,3,,,L5951,
Th,1,4491.7838,0.0020,7,,,3,4,,,L3552,
Th,1,4492.3301,0.0006,28,,,1,2,,,L5951,
Ne,1,4493.0317,0.0020,800,,,2,1,,,L4498,
Ne,1,4493.098,0.020,500,,,2,3,,,L3469,
Th,1,4493.36091,0.00022,340,,,3,4,,,L5951,
Ne,1,4493.392,0.020,50,,,2,1,,,L3469,
Ne,1,4493.672,0.020,300,,,2,2,,,L3469,
Th,1,4493.7919,0.0005,50,,,5,6,,,L5951,
Th,1,4493.8312,0.0004,60,,,3,4,,,L5951,
Th,1,4493.9351,0.0003,140,,,5,6,,,L5951,
Ne,1,4493.949,0.020,150,,,2,3,,,L3469,
Ne,1,4494.368,0.020,50,,,2,1,,,L3469,
Th,1,4494.594218,0.000008,28000,,,2,2,,,L18702,
Th,1,4494.82743,0.00022,330,,,1,2,,,L5951,
Ne,1,4494.960,0.020,500,,,2,2,,,L3469,
Th,1,4495.0237,0.0020,7,,,3,3,,,L3552,
Th,1,4495.0588,0.0008,16,,,3,4,,,L5951,
Th,1,4495.0903,0.0006,34,,,5,4,,,L5951,
Th,1,4495.9516,0.0003,230,,,3,3,,,L5951,
Th,1,4496.1239,0.0020,7,,,1,2,,,L3552,
Th,1,4496.8556,0.0004,72,,,3,3,,,L5951,
Th,1,4497.9528,0.0024,8,,,4,5,,,L12239,
Th,1,4498.3837,0.0006,17,,,4,3,,,L5951,
Th,1,4499.0418,0.0020,11,,,2,3,,,L3552,
Th,1,4499.1479,0.0003,150,,,1,2,,,L5951,
Th,1,4499.17610,0.00018,500,,,2,3,,,L5951,
Th,1,4499.3052,0.0008,17,,,5,5,,,L5951,
Th,1,4499.4154,0.0004,67,,,2,2,,,L5951,
Th,1,4500.20215,0.00004,3100,,,1,2,,,L18702,
Th,1,4500.22837,0.00018,640bl,,,5,4,,,L5951,
Ne,1,4500.262,0.020,20,,,1,1,,,L3469,
Th,1,4500.64176,0.00020,400,,,4,4,,,L5951,
Th,1,4500.6790,0.0005,42,,,4,4,,,L5951,
Th,1,4500.6973,0.0004,97,,,5,5,,,L5951,
Th,1,4500.9659,0.0004,88,,,3,4,,,L5951,
Ne,1,4501.105,0.020,50*,,,1,0,,,L3469,
Ne,1,4501.105,0.020,50*,,,1,1,,,L3469,
Th,1,4501.24554,0.00004,2400,,,4,3,,,L18702,
Ne,1,4501.4444,0.0010,500,,,1,2,,,L7292,
Th,1,4501.8436,0.0020,78,,,3,3,,,L3552,
Th,1,4501.8624,0.0006,27,,,4,4,,,L5951,
Xe,1,4502.241,0.002,,1.46e+06,C+,2,1,,T3269,L7292,
Th,1,4502.4378,0.0006,31*,,,1,2,,,L5951,
Th,1,4502.4378,0.0006,31*,,,1,2,,,L5951,
Th,1,4502.5524,0.0006,29,,,3,2,,,L5951,
Th,1,4502.803,0.003,6,,,3,4,,,L12239,
Kr,1,4503.61721,0.00010,600,7.8e+05,C,1,2,,T3952n,T3378,T9012,L11281,
Th,1,4503.6437,0.0018,19,,,4,4,,,L12239,
Th,1,4504.4765,0.0006,25,,,3,4,,,L5951,
Th,1,4505.5133,0.0008,15,,,2,1,,,L5951,
Th,1,4505.5322,0.0006,33,,,6,6 or 7,,,L5951,
