element,wavelength,intensity,acc,state,source,note,reference,unit
Ra,2709.8074812330233,100,,2,,,R34a,A
Ra,2814.6343449138503,150,,2,,P,R34a,A
Ra,3650.6472184796776,500,,2,,P,R34a,A
Ra,3815.5623021323277,1000,,2,,P,R34a,A
Ra,4341.927587451451,500,,2,,P,R34a,A
Ra,4437.584168899048,100,,2,,,R34a,A
Ra,4534.451132121433,150,,2,,P,R34a,A
Ra,4683.662747417159,500,,2,,P,R34a,A
Ra,5815.330736330056,100,,2,,,R34a,A
Ra,8022.02717483921,250,,2,,P,R34a,A
