#Element, Wavelength, Intensity
CuNeAr,5105.541,0.
CuNeAr,5105.541,0.
CuNeAr,5113.675,0.
CuNeAr,5116.503,0.
CuNeAr,5118.202,0.
CuNeAr,5125.765,0.
CuNeAr,5141.783,0.
CuNeAr,5145.308,0.
CuNeAr,5151.391,0.
CuNeAr,5153.235,0.
CuNeAr,5153.235,0.
CuNeAr,5158.89,0.
CuNeAr,5162.285,0.
CuNeAr,5165.773,0.
CuNeAr,5176.229,0.
CuNeAr,5177.540,0.
CuNeAr,5187.746,0.
CuNeAr,5188.612,0.
CuNeAr,5193.18,0.
CuNeAr,5203.895,0.
CuNeAr,5208.863,0.
CuNeAr,5214.774,0.
CuNeAr,5218.202,0.
CuNeAr,5221.271,0.
CuNeAr,5222.351,0.
CuNeAr,5234.028,0.
CuNeAr,5241.091,0.
CuNeAr,5252.788,0.
CuNeAr,5254.465,0.
CuNeAr,5264.782,0.
CuNeAr,5274.04,0.
CuNeAr,5280.09,0.
CuNeAr,5286.887,0.
CuNeAr,5292.517,0.
CuNeAr,5298.190,0.
CuNeAr,5304.756,0.
CuNeAr,5305.688,0.
CuNeAr,5317.726,0.
CuNeAr,5326.396,0.
CuNeAr,5329.698,0.
CuNeAr,5330.77734,0.
CuNeAr,5330.778,0.
CuNeAr,5341.08984,0.
CuNeAr,5343.284,0.
CuNeAr,5345.81,0.
CuNeAr,5347.412,0.
CuNeAr,5349.21,0.
CuNeAr,5352.67,0.
CuNeAr,5358.363,0.
CuNeAr,5360.012,0.
CuNeAr,5372.31,0.
CuNeAr,5373.494,0.
CuNeAr,5374.975,0.
CuNeAr,5387.37,0.
CuNeAr,5393.560,0.
CuNeAr,5393.971,0.
CuNeAr,5397.516,0.
CuNeAr,5400.56152,0.
CuNeAr,5402.605,0.
CuNeAr,5407.344,0.
CuNeAr,5410.473,0.
CuNeAr,5412.66,0.
CuNeAr,5418.56,0.
CuNeAr,5421.352,0.
CuNeAr,5433.65,0.
CuNeAr,5439.989,0.
CuNeAr,5442.248,0.
CuNeAr,5443.24,0.
CuNeAr,5451.652,0.
CuNeAr,5454.307,0.
CuNeAr,5457.416,0.
CuNeAr,5467.161,0.
CuNeAr,5473.452,0.
CuNeAr,5490.119,0.
CuNeAr,5494.41,0.
CuNeAr,5495.874,0.
CuNeAr,5506.113,0.
CuNeAr,5524.957,0.
CuNeAr,5528.93,0.
CuNeAr,5534.45,0.
CuNeAr,5540.90,0.
CuNeAr,5554.050,0.
CuNeAr,5558.702,0.
CuNeAr,5572.541,0.
CuNeAr,5577.685,0.
CuNeAr,5581.871,0.
CuNeAr,5588.720,0.
CuNeAr,5597.476,0.
CuNeAr,5601.122,0.
CuNeAr,5606.733,0.
CuNeAr,5618.010,0.
CuNeAr,5620.913,0.
CuNeAr,5623.778,0.
CuNeAr,5625.678,0.
CuNeAr,5637.32,0.
CuNeAr,5639.14,0.
CuNeAr,5641.375,0.
CuNeAr,5648.686,0.
CuNeAr,5650.704,0.
CuNeAr,5652.57,0.
CuNeAr,5654.457,0.
CuNeAr,5656.659,0.
CuNeAr,5659.127,0.
CuNeAr,5662.547,0.
CuNeAr,5672.952,0.
CuNeAr,5681.900,0.
CuNeAr,5689.81641,0.
CuNeAr,5689.91,0.
CuNeAr,5691.661,0.
CuNeAr,5700.24,0.
CuNeAr,5700.873,0.
CuNeAr,5712.48,0.
CuNeAr,5719.225,0.
CuNeAr,5738.387,0.
CuNeAr,5739.520,0.
CuNeAr,5748.29834,0.
CuNeAr,5760.59,0.
CuNeAr,5764.41895,0.
CuNeAr,5772.114,0.
CuNeAr,5774.009,0.
CuNeAr,5782.130,0.
CuNeAr,5783.536,0.
CuNeAr,5786.555,0.
CuNeAr,5789.474,0.
CuNeAr,5802.080,0.
CuNeAr,5804.449,0.
CuNeAr,5811.42,0.
CuNeAr,5812.760,0.
CuNeAr,5820.15576,0.
CuNeAr,5828.91,0.
CuNeAr,5834.263,0.
CuNeAr,5843.778,0.
CuNeAr,5852.48779,0.
CuNeAr,5860.310,0.
CuNeAr,5870.454,0.
CuNeAr,5881.89502,0.
CuNeAr,5882.624,0.
CuNeAr,5888.584,0.
CuNeAr,5902.464,0.
CuNeAr,5912.085,0.
CuNeAr,5916.599,0.
CuNeAr,5927.126,0.
CuNeAr,5928.813,0.
CuNeAr,5940.855,0.
CuNeAr,5942.669,0.
CuNeAr,5944.83398,0.
CuNeAr,5949.258,0.
CuNeAr,5964.472,0.
CuNeAr,5965.474,0.
CuNeAr,5968.320,0.
CuNeAr,5971.601,0.
CuNeAr,5975.534,0.
CuNeAr,5975.53418,0.
CuNeAr,5981.924,0.
CuNeAr,5985.914,0.
CuNeAr,5987.302,0.
CuNeAr,5989.339,0.
CuNeAr,5994.66,0.
CuNeAr,5998.999,0.
CuNeAr,6005.724,0.
CuNeAr,6013.678,0.
CuNeAr,6025.150,0.
CuNeAr,6029.9971,0.
CuNeAr,6032.127,0.
CuNeAr,6043.223,0.
CuNeAr,6044.468,0.
CuNeAr,6046.898,0.
CuNeAr,6052.723,0.
CuNeAr,6059.373,0.
CuNeAr,6064.751,0.
CuNeAr,6074.3377,0.
CuNeAr,6081.243,0.
CuNeAr,6085.880,0.
CuNeAr,6090.785,0.
CuNeAr,6096.16309,0.
CuNeAr,6098.803,0.
CuNeAr,6101.162,0.
CuNeAr,6103.539,0.
CuNeAr,6104.590,0.
CuNeAr,6105.635,0.
CuNeAr,6113.466,0.
CuNeAr,6114.92334,0.
CuNeAr,6118.027,0.
CuNeAr,6119.657,0.
CuNeAr,6123.362,0.
CuNeAr,6127.416,0.
CuNeAr,6128.44971,0.
CuNeAr,6128.723,0.
CuNeAr,6138.656,0.
CuNeAr,6142.05,0.
CuNeAr,6143.06250,0.
CuNeAr,6143.063,0.
CuNeAr,6145.441,0.
CuNeAr,6150.384,0.
CuNeAr,6155.239,0.
CuNeAr,6163.5939,0.
CuNeAr,6165.123,0.
CuNeAr,6170.174,0.
CuNeAr,6172.278,0.
CuNeAr,6173.096,0.
CuNeAr,6179.419,0.
CuNeAr,6182.146,0.
CuNeAr,6187.135,0.
CuNeAr,6201.100,0.
CuNeAr,6212.503,0.
CuNeAr,6215.938,0.
CuNeAr,6217.2813,0.
CuNeAr,6230.922,0.
CuNeAr,6239.712,0.
CuNeAr,6243.120,0.
CuNeAr,6248.406,0.
CuNeAr,6266.495,0.
CuNeAr,6278.645,0.
CuNeAr,6293.745,0.
CuNeAr,6295.446,0.
CuNeAr,6296.872,0.
CuNeAr,6304.7892,0.
CuNeAr,6307.657,0.
CuNeAr,6309.160,0.
CuNeAr,6313.692,0.
CuNeAr,6324.416,0.
CuNeAr,6328.165,0.
CuNeAr,6333.146,0.
CuNeAr,6334.4279,0.
CuNeAr,6348.232,0.
CuNeAr,6364.894,0.
CuNeAr,6369.575,0.
CuNeAr,6382.9914,0.
CuNeAr,6384.717,0.
CuNeAr,6393.797,0.
CuNeAr,6394.729,0.
CuNeAr,6396.610,0.
CuNeAr,6399.207,0.
CuNeAr,6402.246,0.
CuNeAr,6403.013,0.
CuNeAr,6408.904,0.
CuNeAr,6416.307,0.
CuNeAr,6418.370,0.
CuNeAr,6422.897,0.
CuNeAr,6431.555,0.
CuNeAr,6437.600,0.
CuNeAr,6441.900,0.
CuNeAr,6443.860,0.
CuNeAr,6444.712,0.
CuNeAr,6466.553,0.
CuNeAr,6468.048,0.
CuNeAr,6472.429,0.
CuNeAr,6481.145,0.
CuNeAr,6483.083,0.
CuNeAr,6493.969,0.
CuNeAr,6499.106,0.
CuNeAr,6506.5279,0.
CuNeAr,6513.846,0.
CuNeAr,6532.8824,0.
CuNeAr,6538.112,0.
CuNeAr,6594.66,0.
CuNeAr,6596.114,0.
CuNeAr,6598.678,0.
CuNeAr,6598.9529,0.
CuNeAr,6604.853,0.
CuNeAr,6620.967,0.
CuNeAr,6632.084,0.
CuNeAr,6638.221,0.
CuNeAr,6639.740,0.
CuNeAr,6643.698,0.
CuNeAr,6652.092,0.
CuNeAr,6656.939,0.
CuNeAr,6660.676,0.
CuNeAr,6664.051,0.
CuNeAr,6666.359,0.
CuNeAr,6677.282,0.
CuNeAr,6678.277,0.
CuNeAr,6684.293,0.
CuNeAr,6698.875,0.
CuNeAr,6698.876,0.
CuNeAr,6717.0428,0.
CuNeAr,6719.218,0.
CuNeAr,6722.890,0.
CuNeAr,6752.834,0.
CuNeAr,6754.30,0.
CuNeAr,6756.163,0.
CuNeAr,6766.612,0.
CuNeAr,6779.933,0.
CuNeAr,6808.531,0.
CuNeAr,6818.291,0.
CuNeAr,6827.249,0.
CuNeAr,6851.884,0.
CuNeAr,6861.269,0.
CuNeAr,6863.535,0.
CuNeAr,6871.289,0.
CuNeAr,6879.582,0.
CuNeAr,6887.088,0.
CuNeAr,6888.174,0.
CuNeAr,6929.468,0.
CuNeAr,6937.664,0.
CuNeAr,6951.478,0.
CuNeAr,6960.250,0.
CuNeAr,6965.431,0.
CuNeAr,6992.213,0.
CuNeAr,7024.051,0.
CuNeAr,7030.251,0.
CuNeAr,7032.4127,0.
CuNeAr,7051.294,0.
CuNeAr,7059.109,0.
CuNeAr,7067.218,0.
CuNeAr,7068.734,0.
CuNeAr,7086.704,0.
CuNeAr,7107.478,0.
CuNeAr,7112.2,0.
CuNeAr,7125.820,0.
CuNeAr,7147.042,0.
CuNeAr,7158.839,0.
CuNeAr,7173.939,0.
CuNeAr,7206.980,0.
CuNeAr,7245.167,0.
CuNeAr,7265.172,0.
CuNeAr,7270.664,0.
CuNeAr,7272.936,0.
CuNeAr,7304.82,0.
CuNeAr,7311.716,0.
CuNeAr,7316.005,0.
CuNeAr,7353.293,0.
CuNeAr,7372.118,0.
CuNeAr,7383.981,0.
CuNeAr,7392.980,0.
CuNeAr,7412.337,0.
CuNeAr,7425.294,0.
CuNeAr,7435.368,0.
CuNeAr,7438.899,0.
CuNeAr,7471.164,0.
CuNeAr,7471.168,0.
CuNeAr,7472.439,0.
CuNeAr,7484.24,0.
CuNeAr,7484.327,0.
CuNeAr,7488.872,0.
CuNeAr,7500.656,0.
CuNeAr,7503.869,0.
CuNeAr,7510.408,0.
CuNeAr,7514.652,0.
CuNeAr,7535.775,0.
CuNeAr,7544.046,0.
CuNeAr,7544.046,0.
CuNeAr,7562.01,0.
CuNeAr,7579.02,0.
CuNeAr,7589.32,0.
CuNeAr,7618.33,0.
CuNeAr,7628.86,0.
CuNeAr,7635.106,0.
CuNeAr,7652.36,0.
CuNeAr,7670.04,0.
CuNeAr,7704.81,0.
CuNeAr,7723.7611,0.
CuNeAr,7724.63,0.
CuNeAr,7798.55,0.
CuNeAr,7814.33,0.
CuNeAr,7825.66,0.
CuNeAr,7839.08,0.
CuNeAr,7861.91,0.
CuNeAr,7868.195,0.
CuNeAr,7891.075,0.
CuNeAr,7895.83,0.
CuNeAr,7902.57,0.
CuNeAr,7927.11,0.
CuNeAr,7933.13,0.
CuNeAr,7937.01,0.
CuNeAr,7943.180,0.
CuNeAr,7943.181,0.
CuNeAr,7948.176,0.
CuNeAr,7972.01,0.
CuNeAr,8006.157,0.
CuNeAr,8014.786,0.
CuNeAr,8046.117,0.
CuNeAr,8053.308,0.
CuNeAr,8053.309,0.
CuNeAr,8082.458,0.
CuNeAr,8092.634,0.
CuNeAr,8095.55,0.
CuNeAr,8103.693,0.
CuNeAr,8115.311,0.
CuNeAr,8118.549,0.
CuNeAr,8118.550,0.
CuNeAr,8128.908,0.
CuNeAr,8128.93,0.
CuNeAr,8136.406,0.
CuNeAr,8178.96,0.
CuNeAr,8235.30,0.
CuNeAr,8248.681,0.
CuNeAr,8248.70,0.
CuNeAr,8259.379,0.
CuNeAr,8259.380,0.
CuNeAr,8264.5225,0.
CuNeAr,8266.076,0.
CuNeAr,8277.60,0.
CuNeAr,8300.326,0.
CuNeAr,8365.746,0.
CuNeAr,8377.607,0.
CuNeAr,8384.724,0.
CuNeAr,8408.210,0.
CuNeAr,8424.6475,0.
CuNeAr,8463.357,0.
CuNeAr,8484.444,0.
CuNeAr,8484.45,0.
CuNeAr,8495.36,0.
CuNeAr,8503.46,0.
CuNeAr,8521.4422,0.
CuNeAr,8544.695,0.
CuNeAr,8544.70,0.
CuNeAr,8571.353,0.
CuNeAr,8571.360,0.
CuNeAr,8582.91,0.
CuNeAr,8591.259,0.
CuNeAr,8605.776,0.
CuNeAr,8620.460,0.
CuNeAr,8634.648,0.
CuNeAr,8647.05,0.
CuNeAr,8654.383,0.
CuNeAr,8667.9442,0.
CuNeAr,8678.408,0.
CuNeAr,8679.491,0.
CuNeAr,8679.492,0.
CuNeAr,8681.920,0.
CuNeAr,8681.922,0.
CuNeAr,8704.113,0.
CuNeAr,8704.15,0.
CuNeAr,8736.63,0.
CuNeAr,8761.686,0.
CuNeAr,8761.691,0.
CuNeAr,8771.70,0.
CuNeAr,8771.860,0.
CuNeAr,8771.885,0.
CuNeAr,8780.622,0.
CuNeAr,8783.755,0.
CuNeAr,8784.59,0.
CuNeAr,8799.088,0.
