# Peak,Strength,Lamp
# https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=Ne+I%3B+Ne+II&limits_type=0&low_w=300&upp_w=1200&unit=1&de=0&format=0&line_out=0&remove_js=on&en_unit=0&output=0&bibrefs=1&page_size=15&show_obs_wl=1&order_out=0&max_low_enrg=&show_av=3&max_upp_enrg=&tsb_value=0&min_str=&A_out=0&intens_out=on&max_str=&allowed_out=1&forbid_out=1&min_accur=C&min_intens=10&conf_out=on&term_out=on&enrg_out=on&J_out=on&submit=Retrieve+Data
# Only contain 3000-12000 A and have relative strength >= 10
7945.3654,7900,NeI 
7946.3256,200,NeI 
8084.6801,5700,NeI 
8120.7818,3800,NeI 
8131.1461,1200,NeI 
8138.6432,17000,NeI 
8250.9501,310,NeI 
8261.6498,3300,NeI 
8268.3491,7200,NeI 
8269.3890,990,NeI 
8302.6062,29000,NeI 
8303.8387,1900,NeI 
8368.0455,4600,NeI 
8378.6610,6600,NeI 
8379.9093,76000,NeI 
8419.4727,2700,NeI 
8420.7398,26000,NeI 
8465.6824,3700,NeI 
8486.7736,1300,NeI 
8497.6932,69000,NeI 
8547.0427,1600,NeI 
8573.7082,2900,NeI 
8585.2609,1600,NeI 
8593.6184,41000,NeI 
8637.0190,35000,NeI 
8637.6897,740,NeI 
8649.4164,6000,NeI 
8656.7599,64000,NeI 
8657.8995,7600,NeI 
8681.8775,13000,NeI 
8684.3062,15000,NeI 
8706.5028,2900,NeI 
8769.944,160,NeI 
8774.0664,10000,NeI 
8781.1430,2100,NeI 
8783.0336,57000,NeI 
8784.4132,230,NeI 
8786.1660,43000,NeI 
8794.9201,260,NeI 
8833.3316,550,NeI 
8856.2980,27000,NeI 
8867.7399,2100,NeI 
8868.1905,15000,NeI 
8921.9496,6400,NeI 
8991.0240,1800,NeI 
9151.1829,12000,NeI 
9204.2841,8900,NeI 
9222.5900,6000,NeI 
9224.1108,2200,NeI 
9229.2230,1800,NeI 
9278.0643,910,NeI 
9303.4053,7700,NeI 
9313.1380,830,NeI 
9316.5288,2700,NeI 
9329.0663,6900,NeI 
9375.8796,1500,NeI 
9427.9655,4800,NeI 
9435.5961,66,NeI 
9461.8060,2800,NeI 
9489.2849,5000,NeI 
9536.7793,6100,NeI 
9550.0241,2800,NeI 
9668.0709,18000,NeI 
10248.5213,16,NeI 
10298.2378,420,NeI 
10435.4497,13,NeI 
10565.3029,8000,NeI 
10623.5735,780,NeI 
10801.0009,6100,NeI 
10847.4479,9400,NeI 
11023.8978,78,NeI 
11047.0248,64,NeI 
11052.7483,200,NeI 
11063.837,29,NeI 
11123.3233,73,NeI 
11137.5587,49,NeI 
11141.4832,55,NeI 
11146.0715,26000,NeI 
11163.2695,270,NeI 
11180.5855,49000,NeI 
11296.0569,65,NeI 
11301.5353,46,NeI 
11306.9830,140,NeI 
11307.6410,100,NeI 
11332.7280,41,NeI 
11336.7905,37,NeI 
11369.7838,110,NeI 
11393.5519,15000,NeI 
11412.2575,8800,NeI 
11525.8996,33000,NeI 
11528.1755,17000,NeI 
11539.5028,9100,NeI 
11604.7128,2600,NeI 
11617.2599,13000,NeI 
11691.2022,2800,NeI 
11770.0137,15000,NeI 
11792.2712,13000,NeI 
11793.1165,3200,NeI 
11988.1939,7400,NeI
